n_neighbors,n_components,min_dist,metric,min_cluster_size,min_samples,hdbscan_metric,cluster_selection_method,prediction_data,n_topics,silhouette,diversity,coherence_cv,silhouette_norm,diversity_norm,coherence_cv_norm,score_sdc,score_sc
15,3,0.0,cosine,10,5,euclidean,eom,True,1000,0.0544,0.7296,0.448,0.40087912087912086,0.9389184645558982,0.0,0.44659919514500634,0.20043956043956043
15,3,0.0,cosine,10,10,euclidean,eom,True,708,0.0737,0.6829,0.5012,0.4857142857142857,0.8080694872513309,0.1513944223107569,0.48172606509212446,0.3185543540125213
15,3,0.0,cosine,10,20,euclidean,eom,True,409,0.0723,0.6237,0.5604,0.47956043956043953,0.6421966937517514,0.3198634035287422,0.4805401789469777,0.3997119215445909
15,3,0.0,cosine,20,5,euclidean,eom,True,534,0.0735,0.6395,0.5229,0.4848351648351648,0.686466797422247,0.2131474103585658,0.4614831242053259,0.3489912875968653
15,3,0.0,cosine,20,10,euclidean,eom,True,433,0.0782,0.6231,0.5584,0.5054945054945055,0.6405155505743906,0.31417188389299944,0.48672731332063185,0.40983319469375246
15,3,0.0,cosine,20,20,euclidean,eom,True,353,0.077,0.5989,0.5896,0.5002197802197802,0.5727094424208462,0.40295959021058625,0.4919629376170709,0.4515896852151832
15,3,0.0,cosine,30,5,euclidean,eom,True,384,0.0757,0.6096,0.5693,0.4945054945054945,0.6026898290837771,0.34519066590779746,0.48079532983235634,0.419848080206646
15,3,0.0,cosine,30,10,euclidean,eom,True,315,0.0779,0.5921,0.6014,0.5041758241758242,0.5536564864107593,0.43653955606146855,0.4981239555493507,0.47035769011864637
15,3,0.0,cosine,30,20,euclidean,eom,True,267,0.0651,0.5757,0.6169,0.4479120879120879,0.5077052395629028,0.4806488332384747,0.4787553869044885,0.4642804605752813
15,3,0.0,cosine,50,5,euclidean,eom,True,211,0.0648,0.6147,0.6233,0.44659340659340657,0.6169795460913422,0.49886169607285136,0.5208115495858667,0.47272755133312894
15,3,0.0,cosine,50,10,euclidean,eom,True,196,0.0721,0.5939,0.6353,0.47868131868131863,0.5586999159428412,0.5330108138873079,0.5234640161704892,0.5058460662843133
15,3,0.0,cosine,50,20,euclidean,eom,True,180,0.0863,0.61,0.6383,0.5410989010989011,0.6038105912020174,0.5415480933409219,0.56215252854728,0.5413234972199115
15,3,0.0,cosine,75,5,euclidean,eom,True,151,0.0811,0.6159,0.6603,0.5182417582417582,0.6203418324460633,0.6041548093340922,0.5809128000073045,0.5611982837879252
15,3,0.0,cosine,75,10,euclidean,eom,True,136,0.0935,0.6037,0.6652,0.5727472527472527,0.5861585878397311,0.618099032441662,0.5923349576762152,0.5954231425944574
15,3,0.0,cosine,75,20,euclidean,eom,True,138,0.0904,0.6007,0.6619,0.559120879120879,0.5777528719529281,0.6087080250426865,0.5818605920388312,0.5839144520817827
15,3,0.0,cosine,100,5,euclidean,eom,True,117,0.0857,0.6239,0.6749,0.5384615384615384,0.6427570748108715,0.6457029026750144,0.6089738386491415,0.5920822205682764
15,3,0.0,cosine,100,10,euclidean,eom,True,105,0.0917,0.6067,0.6793,0.5648351648351648,0.5945643037265341,0.6582242458736483,0.605874571478449,0.6115297053544065
15,3,0.0,cosine,100,20,euclidean,eom,True,55,-0.032,0.3945,0.7474,0.021098901098901092,0.0,0.8520204894706885,0.29103979685652986,0.4365596952847948
15,3,0.0,cosine,150,5,euclidean,eom,True,43,-0.0368,0.4209,0.7859,0.0,0.07397029980386659,0.9615822424587366,0.34518418075420104,0.4807911212293683
15,3,0.0,cosine,150,10,euclidean,eom,True,41,-0.0299,0.4415,0.7803,0.03032967032967033,0.13168954889324738,0.9456459874786568,0.36922173556719146,0.4879878289041636
15,3,0.0,cosine,150,20,euclidean,eom,True,42,-0.0285,0.4357,0.7869,0.03648351648351648,0.11543849817876146,0.964428002276608,0.372116672312962,0.5004557593800623
15,3,0.0,cosine,200,5,euclidean,eom,True,36,-0.0256,0.4667,0.7753,0.049230769230769224,0.20229756234239282,0.9314171883892999,0.3943151733208206,0.49032397881003453
15,3,0.0,cosine,200,10,euclidean,eom,True,36,-0.0245,0.475,0.7774,0.05406593406593406,0.22555337629588113,0.9373932840068298,0.40567086478954834,0.4957296090363819
15,3,0.0,cosine,200,20,euclidean,eom,True,36,-0.0237,0.475,0.7789,0.05758241758241758,0.22555337629588113,0.941661923733637,0.40826590587064526,0.4996221706580273
15,5,0.0,cosine,10,5,euclidean,eom,True,950,0.0867,0.7159,0.4733,0.5428571428571428,0.9005323620061643,0.07199772339214568,0.5051290760851509,0.30742743312464427
15,5,0.0,cosine,10,10,euclidean,eom,True,684,0.083,0.6715,0.522,0.5265934065934066,0.7761277668814794,0.21058622652248155,0.5044357999991226,0.3685898165579441
15,5,0.0,cosine,10,20,euclidean,eom,True,431,0.1024,0.6262,0.5703,0.6118681318681318,0.6492014569907537,0.34803642572566884,0.5363686715281849,0.47995227879690033
15,5,0.0,cosine,20,5,euclidean,eom,True,507,0.0834,0.6345,0.5475,0.5283516483516484,0.672457270944242,0.2831531018782014,0.4946540070580306,0.4057523751149249
15,5,0.0,cosine,20,10,euclidean,eom,True,435,0.0926,0.6108,0.5738,0.5687912087912088,0.6060521154384982,0.35799658508821847,0.5109466364393086,0.46339389693971367
15,5,0.0,cosine,20,20,euclidean,eom,True,378,0.1063,0.6029,0.5945,0.6290109890109891,0.5839170636032502,0.416903813318156,0.5432772886441318,0.5229574011645726
15,5,0.0,cosine,30,5,euclidean,eom,True,352,0.0994,0.6236,0.5805,0.5986813186813186,0.6419165032221913,0.3770631758679568,0.5392203325904888,0.4878722472746377
15,5,0.0,cosine,30,10,euclidean,eom,True,320,0.105,0.6097,0.6031,0.6232967032967032,0.6029700196133372,0.44137734775184967,0.5558813568872967,0.5323370255242764
15,5,0.0,cosine,30,20,euclidean,eom,True,286,0.1082,0.5944,0.6273,0.6373626373626374,0.5601008685906418,0.5102447353443368,0.5692360804325386,0.5738036863534871
15,5,0.0,cosine,50,5,euclidean,eom,True,222,0.1115,0.6347,0.6377,0.6518681318681318,0.6730176520033625,0.5398406374501993,0.6215754737738979,0.5958543846591655
15,5,0.0,cosine,50,10,euclidean,eom,True,201,0.1076,0.6318,0.6452,0.6347252747252747,0.6648921266461195,0.5611838360842345,0.6202670791518763,0.5979545554047546
15,5,0.0,cosine,50,20,euclidean,eom,True,166,0.079,0.5988,0.6681,0.509010989010989,0.5724292518912861,0.6263517359134889,0.5692639922719214,0.567681362462239
15,5,0.0,cosine,75,5,euclidean,eom,True,148,0.1067,0.6216,0.6585,0.6307692307692309,0.6363126926309892,0.5990324416619236,0.6220381216873813,0.6149008362155772
15,5,0.0,cosine,75,10,euclidean,eom,True,142,0.1172,0.619,0.6585,0.6769230769230768,0.6290277388624265,0.5990324416619236,0.6349944191491423,0.6379777592925002
